Name,Purpose,Quantity,Total Cost (USD),Link,Distributor
"cables","To connect all the buttons and stuff to the raspberry pi",1,6.58,"https://www.amazon.co.uk/120pcs-Multicolored-Breadboard-Compatible-Arduino/dp/B0DP1YNH7H/ref=sr_1_2?dib=eyJ2IjoiMSJ9.j5CrGA01M0nU6ti4eWsNuifPtnKxjS4nP7Nxyd8KnBwCOPl4F-A8mY2oWU22iWJgkLezVF2Ja75-Oos_-Ay1UUx603lodEUzPrGp5Aoc-c1FdslHISVCkB4huoqKbo2UeUCsS46YiioIP9_g9MxkpLTSIYMUzESCllRkL49ja_jQ_wc1hShHHyNb9OAPgm5kmsaDOEjjr7dFKrp4Ry9BIknuq3HTqAOUMal3I7_mgfs.Jv7BQlIPY074unj8oYdaPTDvPUpQGlM-Fse4pmZIJ-g&dib_tag=se&keywords=gpio+cable&qid=1775330779&sr=8-2","Amazon"
"30cm 15pin Mipi cable","To connect primary screen to raspberry pi",1,3.40,"https://www.aliexpress.com/item/1005006280103328.html?spm=a2g0o.productlist.main.14.e313ovWFovWFd1&algo_pvid=589140b5-6407-469c-8585-8253e380dc41&algo_exp_id=589140b5-6407-469c-8585-8253e380dc41-13&pdp_ext_f=%7B""order""%3A""112""%2C""eval""%3A""1""%2C""fromPage""%3A""search""%7D&pdp_npi=6%40dis%21GBP%213.27%211.89%21%21%2128.87%2116.68%21%40210385bb17752188184203209e76fc%2112000036591684118%21sea%21UK%217780845038%21ABX%211%210%21n_tag%3A-29910%3Bd%3A375bfd2e%3Bm03_new_user%3A-29895%3BpisId%3A5000000197854637&curPageLogUid=pcLVr8iD3SUG&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005006280103328%7C_p_origin_prod%3A","AliExpress"
"Flexible hdmi","to connect secondary screen to raspberry pi",1,8.10,"https://www.aliexpress.com/item/1005008803893084.html?spm=a2g0o.productlist.main.12.2ad343eb3ZTsyy&aem_p4p_detail=202604030515241371201332594940002049363&algo_pvid=f5629171-bca9-4877-9f3d-5d652ba9efeb&algo_exp_id=f5629171-bca9-4877-9f3d-5d652ba9efeb-11&pdp_ext_f=%7B""order""%3A""813""%2C""eval""%3A""1""%2C""fromPage""%3A""search""%7D&pdp_npi=6%40dis%21GBP%213.04%212.95%21%21%2126.84%2126.03%21%40211b813f17752185242903871e63c9%2112000046729829164%21sea%21UK%217780845038%21ABX%211%210%21n_tag%3A-29910%3Bd%3A375bfd2e%3Bm03_new_user%3A-29895&curPageLogUid=PAa8AEhpEen3&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005008803893084%7C_p_origin_prod%3A&search_p4p_id=202604030515241371201332594940002049363_3","AliExpress"
"micro HDMI to HDMI converter","allows secondary screen to connect to Raspberry Pi 4b",1,3.69,"https://www.ebay.co.uk/itm/195057309719?var=0&mkevt=1&mkcid=1&mkrid=710-53481-19255-0&campid=5338749386&toolid=20006&_ul=GB&customid=Cj0KCQjw7IjOBhDyARIsAFzrWQwtMCST5oZDGBY_Uk3bIK-tB2EAvSo8zxqxMiMhmIwIlIDAXaGyezIaAu_CEALw_wcB|0AAAAADihhqVzePGEHaOCUTYXuReajZQmv|Cj4KCAjwyYPOBhAnEi4A8dq_x6IfGB8G9x0qv1g365bdtGQVY3PrnamNReQDsN7LwIxoykJAECY8zHgkGgKXig&gclid=Cj0KCQjw7IjOBhDyARIsAFzrWQwtMCST5oZDGBY_Uk3bIK-tB2EAvSo8zxqxMiMhmIwIlIDAXaGyezIaAu_CEALw_wcB&gbraid=0AAAAADihhqVzePGEHaOCUTYXuReajZQmv&wbraid=Cj4KCAjwyYPOBhAnEi4A8dq_x6IfGB8G9x0qv1g365bdtGQVY3PrnamNReQDsN7LwIxoykJAECY8zHgkGgKXig&loc_interest_ms=&loc_physical_ms=1007135&adtype=pla&gad_source=1&gad_campaignid=17342273006","EBAY"
"5 inch Touchscreen display ","This is the secondary screen for the system",1,30.39,"https://www.aliexpress.com/item/1005008363326690.html?spm=a2g0o.productlist.main.5.22c7e21dh1LAyy&algo_pvid=3652d998-8b77-4020-882b-3e156dfae0c6&algo_exp_id=3652d998-8b77-4020-882b-3e156dfae0c6-4&pdp_ext_f=%7B""order""%3A""91""%2C""eval""%3A""1""%2C""fromPage""%3A""search""%7D&pdp_npi=6%40dis%21GBP%2141.57%2120.79%21%21%21367.20%21183.60%21%402103849717752170329573434e0679%2112000044725236977%21sea%21UK%217780845038%21ABX%211%210%21n_tag%3A-29910%3Bd%3A375bfd2e%3Bm03_new_user%3A-29895&curPageLogUid=OvcTFGDwLXQH&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005008363326690%7C_p_origin_prod%3A#nav-specification","AliExpress"
"Active cooler","To make sure the Rasberry Pi 4B doesn't overheat",1,2.73,"https://www.aliexpress.com/item/32975821199.html?spm=a2g0o.productlist.main.6.4cf9208e9yhb8e&algo_pvid=b2f1a313-42d7-4f3b-b204-297bfa31d347&algo_exp_id=b2f1a313-42d7-4f3b-b204-297bfa31d347-5&pdp_ext_f=%7B""order""%3A""351""%2C""eval""%3A""1""%2C""fromPage""%3A""search""%7D&pdp_npi=6%40dis%21GBP%213.20%212.04%21%21%2128.66%2118.27%21%40211b65de17745594982685972ebf9f%2112000037421488205%21sea%21UK%217780845038%21ABX%211%210%21n_tag%3A-29910%3Bd%3A375bfd2e%3Bm03_new_user%3A-29895%3BpisId%3A5000000197854637&curPageLogUid=SyzrO8o8r9I5&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A32975821199%7C_p_origin_prod%3A","AliExpress"
"Rasberry Pi 4B","This is the main SBC that does all the computational and graphical processing",1,92.51,"https://www.hope-education.co.uk/product/fe00056503?utm_source=google&utm_medium=cpc&utm_campaign=PMAX&gad_source=1&gad_campaignid=20420088393&gclid=Cj0KCQjwkMjOBhC5ARIsADIdb3d3H3dG5mWl4NzCIgW4curns146WLelNWyAS6lHQs3TMnHEiiCQJRYaAq6AEALw_wcB","Hope Education"
"Speakers","Allowing for the games music to be played",1,1.02,"https://www.aliexpress.com/item/1005007390381560.html?UTABTest=aliabtest125094_24785&src=google&src=google&albch=shopping&acnt=708-803-3821&slnk=&plac=&mtctp=&albbt=Google_7_shopping&gclsrc=aw.ds&albagn=888888&ds_e_adid=&ds_e_matchtype=&ds_e_device=c&ds_e_network=x&ds_e_product_group_id=&ds_e_product_id=en1005007390381560&ds_e_product_merchant_id=729369499&ds_e_product_country=GB&ds_e_product_language=en&ds_e_product_channel=online&ds_e_product_store_id=&ds_url_v=2&albcp=17858129175&albag=&isSmbAutoCall=false&needSmbHouyi=false&gad_source=1&gad_campaignid=17335746387&gclid=Cj0KCQjwsdnNBhC4ARIsAA_3heiBMzCprpTWa6_yt0g303a6nEVRqXBfHW1Z-NHFCkVlcjksUNugaJkaAj1ZEALw_wcB&aff_fcid=e7e97b02a8d94688bb0ed0700efcf928-1773613536058-07953-irey5Th&aff_fsk=irey5Th&aff_platform=promotion&sk=irey5Th&aff_trace_key=e7e97b02a8d94688bb0ed0700efcf928-1773613536058-07953-irey5Th&terminal_id=eca857efc4ae4e619eee9d78183fa51c&OLP=1116833308_f_group2&o_s_id=1116833308&afSmartRedirect=n","aliexpress"
"Tactile Buttons","Allows for input for all the games on the console",1,1.01,"https://www.aliexpress.com/item/1005006046180384.html?spm=a2g0o.productlist.main.17.55345472llfmKj&algo_pvid=860ef09b-8e5b-4cb8-aeb6-056e6937c1e7&algo_exp_id=860ef09b-8e5b-4cb8-aeb6-056e6937c1e7-16&pdp_ext_f=%7B""order""%3A""7138""%2C""spu_best_type""%3A""price""%2C""eval""%3A""1""%2C""fromPage""%3A""search""%7D&pdp_npi=6%40dis%21GBP%210.73%210.73%21%21%210.95%210.95%21%40211b876717736076348121696edacc%2112000035472972531%21sea%21UK%217780845038%21ABX%211%210%21n_tag%3A-29910%3Bd%3A375bfd2e%3Bm03_new_user%3A-29895&curPageLogUid=UgCMBXezanTj&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005006046180384%7C_p_origin_prod%3A","Aliexpress"
"Headphone Splitter","Allows for 2 speakers to be used",1,1.02,"https://www.aliexpress.com/item/1005005746424237.html?spm=a2g0o.productlist.main.15.56285cc5PZVDxq&algo_pvid=0d313d07-4788-4162-bf13-c6bb43d8fbbd&algo_exp_id=0d313d07-4788-4162-bf13-c6bb43d8fbbd-14&pdp_ext_f=%7B""order""%3A""253""%2C""spu_best_type""%3A""price""%2C""eval""%3A""1""%2C""fromPage""%3A""search""%7D&pdp_npi=6%40dis%21GBP%211.14%210.76%21%21%2110.16%216.77%21%402103890917736130080275739eb8d7%2112000034198387931%21sea%21UK%217780845038%21ABX%211%210%21n_tag%3A-29910%3Bd%3A375bfd2e%3Bm03_new_user%3A-29895%3BpisId%3A5000000197854683&curPageLogUid=Vt3caKmqbA9t&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005005746424237%7C_p_origin_prod%3A","Aliexpress"
